id,trust
34344,0
15129,0
32408,0
33964,0
18700,1
10938,0
34460,0
19038,0
32415,1
1919,1
20164,1
30223,-1
20513,0
12429,1
32583,1
36960,0
25406,1
43660,0
9833,0
42477,1
2322,0
8913,1
21862,0
13116,1
26034,1
23001,1
40968,0
41871,0
12230,0
20033,1
4563,-1
5071,1
465,1
37621,0
40422,0
29586,1
5264,0
26319,1
27319,1
20206,1
43928,0
38729,0
26640,0
6102,0
29579,1
6418,0
4006,0
41597,0
27632,1
43669,0
236,1
18808,1
22919,1
19978,0
40834,0
43384,0
8621,1
30762,-1
38787,0
24718,1
9048,1
5045,1
40640,0
5610,0
33042,0
5463,0
748,1
21975,0
26648,1
37038,0
9936,1
27976,1
24646,0
29488,0
6832,0
37777,1
29801,-1
30704,1
9826,1
16478,0
7155,0
27701,0
343,-1
27478,1
6119,1
33420,0
18691,0
39977,0
35598,0
41211,0
31557,-1
37149,0
10092,0
12804,0
14926,0
3150,1
10706,0
4748,1
20132,1
31213,0
43929,0
3482,1
40854,0
41293,0
2579,1
781,1
31102,0
8474,0
42825,0
15307,0
6333,1
9066,0
4976,0
38149,0
43799,0
34483,0
6310,1
8231,0
31833,-1
11586,1
20633,-1
14830,0
13128,1
15277,0
20295,-1
9976,1
7147,0
41605,0
35965,-1
2385,0
20067,1
2348,0
14673,0
7040,-1
35489,0
41650,0
9830,0
5657,0
21933,0
6442,0
13468,1
38928,1
9880,1
27905,0
32466,0
13098,0
14020,0
9291,0
32019,0
33901,-1
2007,0
4393,0
44374,0
31955,0
27487,1
33542,0
14165,1
38425,0
30749,0
25356,0
13152,0
39251,0
20532,0
10009,0
14222,1
31926,1
30591,1
10754,1
12512,0
32630,0
9024,1
38642,0
33798,-1
43779,0
44495,0
29594,1
15119,0
9464,0
36457,0
28025,0
25621,1
2055,0
31101,0
41380,0
35663,0
22125,0
33907,0
13697,0
42669,1
26441,1
8047,1
32341,0
19200,1
31680,0
8293,0
3931,0
33547,0
27372,0
9744,0
20246,0
481,1
2191,0
13931,1
12239,0
34541,-1
34053,0
13971,1
29272,1
40412,-1
42230,1
9424,1
6415,1
35486,0
41129,1
1503,1
8125,1
39981,0
10344,0
1770,0
38136,0
31744,0
18787,1
41084,0
41342,0
35103,0
43413,0
8054,1
30576,1
19166,0
12722,1
25303,1
12030,0
35604,0
22122,-1
34407,0
42476,0
17250,-1
8288,0
16699,1
43803,0
38338,0
2182,-1
34299,1
7707,0
12479,1
19756,0
6776,-1
40162,0
32595,0
11966,0
12786,0
22710,1
23640,1
43285,0
9426,0
486,1
27357,1
5843,1
29162,0
3339,0
17484,0
20770,1
34459,0
37750,0
8578,0
26963,1
43554,0
3953,0
24397,0
16377,1
42903,-1
1603,0
25084,0
12136,1
6282,1
40003,0
37371,-1
29101,1
19246,1
9270,1
18299,1
26854,1
43853,0
37051,0
10650,-1
27848,0
38731,1
13629,0
14712,0
31390,0
38102,0
8140,0
36556,-1
4586,0
24564,0
37181,1
3510,1
35617,0
3217,1
8608,0
38142,0
37500,0
25924,1
18739,1
27550,1
2755,1
7581,1
13250,1
39689,0
5546,0
30034,1
38063,0
6088,1
40828,0
29371,1
9323,1
22874,1
12703,1
29796,0
35497,0
21409,0
35533,0
16488,0
29641,1
6570,-1
42474,0
30773,1
31866,-1
24594,-1
1497,0
7001,0
15222,0
23829,1
35916,0
15033,1
31402,0
27278,-1
9386,0
19236,1
37021,0
42193,0
13990,1
14784,-1
42779,0
30616,1
10822,-1
29517,1
9315,1
36254,0
42752,0
42223,0
22725,1
37200,-1
6988,0
21149,0
26374,1
19307,0
39769,0
19336,0
20262,1
20668,1
26818,1
10034,0
32438,0
21656,1
19133,0
18011,1
43984,0
32299,0
16940,0
8405,0
33256,0
26579,1
6805,-1
11682,0
13334,1
31824,0
41488,-1
36795,0
31006,1
16576,1
24935,0
24073,1
12115,1
43748,0
19065,1
30521,0
7064,1
12279,1
31768,0
12072,0
38632,0
44216,0
28228,0
41945,0
9507,0
24245,1
5914,1
20448,0
11305,1
9536,0
14012,1
31240,0
24586,0
11524,0
41702,-1
5961,1
37082,1
20397,-1
26868,1
13424,0
8439,1
31572,0
1776,0
9538,-1
12938,0
9916,1
42471,0
17366,0
18543,1
38717,1
4935,1
6558,0
25440,1
6891,0
38523,1
31304,0
37658,-1
8665,0
10251,0
44517,0
30869,0
9633,1
2756,0
4204,0
43582,0
2791,0
25289,0
39534,0
27514,1
9968,1
12449,1
2678,-1
16584,0
31732,0
36035,0
8001,1
29530,0
17776,0
1874,0
33759,0
8342,1
37694,0
22078,0
18878,1
13490,1
13151,1
17131,0
11747,0
55,1
615,1
11802,0
42939,0
39037,0
9091,0
32591,1
32731,0
41410,0
7162,-1
37744,0
35506,0
32670,0
18686,0
19404,0
43641,0
1813,1
10091,1
26218,1
12708,1
32114,0
23691,0
7098,0
15322,1
6017,1
28948,1
30173,-1
37135,1
23911,1
4227,0
14408,-1
27062,1
37566,0
21808,0
35018,0
8268,1
37661,0
5547,1
20719,0
27892,1
14111,1
42337,0
4237,1
18343,1
27288,0
7390,1
31911,1
21985,-1
7046,0
30975,1
32577,0
4300,0
27704,1
42660,-1
37813,0
37576,0
9750,1
35941,0
42553,0
12120,0
29989,-1
39608,0
11628,-1
41430,0
8123,-1
25633,1
43081,0
7452,1
42757,0
30077,0
14749,1
22117,1
30264,0
15070,0
25535,0
10228,0
5654,0
18138,-1
8072,-1
39731,0
17174,1
13897,-1
7115,0
37833,0
6987,0
16887,0
38852,0
42977,0
43595,0
9796,-1
37697,0
34448,0
20321,0
39476,1
42909,0
13478,1
31407,-1
2053,0
1595,0
46,0
2167,-1
38255,0
25849,1
14346,1
6888,0
30573,1
26707,1
42880,0
26634,1
39019,0
25855,0
21940,1
10794,1
5334,0
31897,1
13995,1
5983,0
13123,0
21971,0
13658,1
27124,0
37292,0
12454,1
4203,0
40973,0
14921,0
38153,0
36013,0
17106,1
12256,1
40484,0
34425,-1
23497,1
10722,0
4275,0
5478,0
14927,1
10436,1
37370,0
13577,-1
9128,0
4835,1
33417,0
44013,0
9261,0
32920,-1
514,1
6238,1
22728,1
8575,0
43643,0
44575,0
24482,0
5775,1
21390,0
23696,1
29334,0
41989,0
26274,0
42070,0
44474,0
16900,0
3715,1
25417,0
22016,0
37434,0
29976,1
16795,0
3654,0
16933,1
32481,0
25481,-1
30027,-1
20040,1
43181,0
12835,0
19314,0
43263,0
42963,0
32085,0
4404,1
22721,0
24192,0
33112,0
552,1
41396,0
21778,0
43576,1
41103,0
30185,0
8263,-1
31377,0
7357,1
36102,0
17051,0
27611,0
42494,0
42978,0
34002,0
40711,0
8843,0
10281,1
10043,1
38113,0
8977,0
42393,0
41808,0
33049,0
30775,1
25504,1
43879,0
20131,1
8437,0
12872,0
13539,0
43037,1
12453,1
17414,0
42301,0
2414,0
43796,0
29302,-1
3120,0
12475,0
4969,1
22677,1
34436,0
18043,1
858,0
14895,1
35633,0
22730,1
11582,-1
9966,0
42599,-1
16424,-1
23674,1
16580,1
40838,-1
14473,1
41000,-1
31381,0
41002,0
31560,-1
29615,1
9250,1
16342,1
16593,0
30777,1
31461,0
14666,0
35619,0
43686,0
29906,0
38789,0
597,1
21508,0
41208,1
43245,0
37696,0
522,0
9477,0
12652,0
14461,1
15355,1
3871,-1
31489,0
37081,0
21182,-1
24539,-1
32886,1
33439,0
36700,0
38715,0
16764,1
43208,-1
16490,-1
7470,1
5679,0
5051,0
18676,1
1494,0
4719,1
32671,0
5678,1
28139,1
18880,1
32985,0
19417,1
11978,0
8340,0
30606,1
38234,1
27889,0
37647,0
26491,1
2059,1
14424,1
43278,1
34225,0
39028,0
22657,0
43284,0
25840,1
23250,1
9360,1
23667,1
8792,1
5694,1
39710,0
30127,1
32924,0
13633,0
39848,0
26558,0
16844,0
15552,1
2375,0
42204,0
5758,-1
20757,0
40396,0
29643,0
1635,1
29264,1
27540,0
1744,0
24969,-1
40350,0
19992,1
31909,0
30883,1
34471,-1
24942,0
1881,0
38776,0
18988,1
35478,0
1831,0
14436,0
13208,0
25540,1
40656,0
6188,1
12617,1
20451,-1
3609,0
10212,-1
24563,-1
8445,0
16447,1
5304,0
13474,1
38800,0
14752,0
10533,-1
40849,0
41509,1
2248,1
4222,1
24476,0
29169,0
36260,1
10483,1
27070,1
20199,1
43584,0
25538,1
41244,0
19957,0
38515,0
16848,-1
4126,-1
23530,0
8465,0
28863,0
32143,1
4008,1
24900,0
9766,1
24338,0
327,1
19346,0
5140,1
23098,0
22884,1
30714,1
27773,1
8668,1
13413,0
43838,0
24057,0
37147,0
14242,0
40208,0
12319,0
14260,-1
